Ancestor ID|PRIMARY County|Secondary County|Title|First Name|Nickname|Middle Name|Maiden Name|Surname|Suffix|Year Settled|Spouse|FIRST ADDED|2013|2014|2015|2016|2017|2018|2019|Total Applicants Using This Ancestor
anc00001|Floyd|||Thomas||||Akers|Sr.|1815||2013|1|0|0|0|0|0|0|1
anc00002|Floyd|||Benjamin||||Baker||||2013|1|0|0|0|0|0|0|1
anc00003|Floyd|||Sarah|||Chew|McCafferty||1826|MCCAFFERTY, Abraham|2013|1|0|0|0|0|0|0|1
anc00004|Floyd|||Stephen||||Cole||||2013|1|0|0|0|0|0|0|1
anc00005|Floyd|||Sarah|||Coleman|Sampson||||2013|1|0|0|0|0|0|0|1
anc00006|Floyd|Harrison||Philip||||Engleman||||2013|1|1|0|3|6|0|0|11
anc00007|Floyd|||Peleg||||Fiske||||2013|2|0|0|0|0|0|0|2
anc00008|Floyd|||Mary|||Graves|Fiske||||2013|1|0|0|0|0|0|0|1
anc00009|Floyd|||Robert||||Gray||1819||2013|1|0|0|0|0|0|0|1
anc00010|Floyd|||David||||Groce||1817||2013|1|0|0|0|0|0|0|1
anc00011|Floyd|||John||Wesley||Gullett|Sr.|1830||2013|1|0|0|0|0|0|0|1
anc00012|Floyd|||John||Wesley||Gullett|Jr.|1836||2013|1|0|0|0|0|0|0|1
anc00013|Floyd|||Joseph||||Hey||1820||2013|1|0|0|0|0|0|0|1
anc00014|Floyd|||Robert||||LaFollette||||2013|3|0|0|0|0|0|0|3
anc00015|Floyd|||Henry||||Lamb||||2013|2|0|0|0|0|0|1|3
anc00016|Floyd|||John||S.||Leach||||2013|1|0|0|0|0|0|0|1
anc00017|Floyd|||Abraham||||McCafferty||1805|MCCAFFERTY, Sarah (Chew)|2013|2|0|0|0|0|0|0|2
anc00018|Floyd|||Levi||||Mayfield||||2013|1|0|0|0|0|0|0|1
anc00019|Floyd|||Susanna|||Piers|Vernia||||2013|4|1|0|0|0|0|0|5
anc00020|Floyd|||Thomas||||Piers||||2013|4|0|0|0|0|0|0|4
anc00021|Floyd|||Joseph||||Renn||1839||2013|1|0|0|0|0|0|0|1
anc00022|Floyd|||Peter||||Renn||1839||2013|1|0|0|0|0|0|0|1
anc00023|Floyd|||William||||Sampson||||2013|1|0|0|0|0|0|0|1
anc00024|Floyd|||John||||Scott||||2013|1|1|0|0|0|0|0|2
anc00025|Floyd|||Moses||||Scott||||2013|7|0|3|0|0|0|0|10
anc00026|Floyd|||Joel||||Scribner||||2013|11|0|0|0|1|0|0|12
anc00027|Floyd|||Joseph||T.||Smith||||2013|1|0|0|0|0|0|0|1
anc00028|Floyd|||Martin||||Smith||||2013|1|0|0|0|0|0|0|1
anc00029|Floyd|||Preston||Floyd||Tuley||||2013|2|0|0|0|0|0|0|2
anc00030|Floyd|||Mary||||Utz||||2013|1|0|0|0|0|0|0|1
anc00031|Floyd|||Peter||||Vernia||||2013|4|0|0|0|0|0|0|4
anc00032|Floyd|||George||||Wheeler||||2013|1|0|0|0|0|0|0|1
anc00033|Floyd|||David||||Wolfe||||2013|1|0|0|0|0|0|0|1
anc00034|Floyd|||Peter||W.||Wolfe||||2013|1|0|0|0|0|0|0|1
anc00035|Clark|||Gideon||||Amick||||2015|0|0|1|0|0|0|0|1
anc00036|Clark|||John||Dick||Amick||||2015|0|0|1|0|0|0|0|1
anc00037|Clark|||Peter||||Amick||||2015|0|0|1|0|0|0|0|1
anc00038|Clark|||Samuel||||Applegate||||2014|0|4|0|0|0|0|0|4
anc00039|Clark|||Benjamin||||Butts||||2014|0|2|0|0|0|0|0|2
anc00040|Clark|||Johnathan||J.||Carr||||2014|0|2|0|0|0|0|0|2
anc00041|Clark|||Benjamin||||Handspire||||2015|0|0|1|0|0|0|0|1
anc00042|Clark|||Jonas||||Handspire||||2015|0|0|1|0|0|0|0|1
anc00043|Clark|||Mary||Barbara|Phillippi|Handspire||||2015|0|0|1|0|0|0|0|1
anc00044|Clark|||Zephaniah||||Jackson||||2015|0|0|2|1|0|0|0|3
anc00045|Clark|||Hannah||P.|Butts|Lee||||2014|0|2|0|0|0|0|0|2
anc00046|Clark|||John||||McClintick|Jr.|||2015|0|0|1|0|0|0|0|1
anc00047|Clark|||Elizabeth|||Applegate|Morris||||2014|0|4|0|0|0|0|0|4
anc00048|Clark|||John||||Pettit||||2015|0|0|1|0|0|0|0|1
anc00049|Clark|||Elizabeth|||Whiteman|Phillippi||||2014|0|1|0|0|0|0|0|1
anc00050|Clark|||Henry||||Phillippi||||2014|0|1|0|0|0|0|0|1
anc00051|Clark|||Hamilton||||Robinson||||2015|0|0|1|0|0|0|0|1
anc00052|Floyd|||Etienne||||Banet||||2015|0|0|7|0|0|0|0|7
anc00053|Floyd|||Joshua||||Dodge||||2015|0|0|1|0|0|0|0|1
anc00054|Floyd|||Isaac||||Ferguson||||2014|0|1|0|0|0|0|0|1
anc00055|Floyd|||Martha||Jane|Breedlove|Ferguson||||2014|0|1|0|0|0|0|0|1
anc00056|Floyd|||Samuel||||Jackson||||2015|0|0|2|1|0|0|0|3
anc00057|Floyd|||Madison||||Martin||||2015|0|0|1|0|0|0|0|1
anc00058|Floyd|||America|||Scott|McCutchen||||2014|0|1|0|0|0|0|0|1
anc00059|Floyd|||William||S.||McCutchen||||2014|0|1|0|0|0|0|0|1
anc00060|Floyd|||Charles||||Rakestraw||||2014|0|3|1|0|0|0|0|4
anc00061|Floyd|||Alfred||||Scott||||2014|0|1|0|0|0|0|0|1
anc00062|Floyd|||Mary||E.|Lyons|Scott||||2014|0|1|0|0|0|0|0|1
anc00063|Floyd|||Pricilla|||Lewis|Scott||||2014|0|1|0|0|0|0|0|1
anc00064|Floyd|||Robert||||Scott||||2015|0|0|4|0|0|0|0|4
anc00065|Floyd|Harrison||Adam||||Utz||||2015|0|0|1|0|1|1|0|3
anc00066|Floyd|||George||Washington||Walts||||2014|0|4|0|0|3|0|0|7
anc00067|Floyd|||Henry||||Walts||||2014|0|4|0|0|0|0|0|4
anc00068|Floyd|||James||||Walts||||2014|0|4|0|0|0|0|0|4
anc00069|Floyd|||John||||Walts||||2014|0|4|0|0|0|0|0|4
anc00070|Harrison|||Joseph||||Avery||||2015|0|0|1|0|0|0|0|1
anc00071|Harrison|||Anna|||Brashears|Brown||||2015|0|0|1|0|0|0|0|1
anc00072|Harrison|||James||H.||Brown||||2015|0|0|1|0|0|0|0|1
anc00073|Harrison|||Jacob||A.||Crecelius||||2015|0|0|1|0|0|0|0|1
anc00074|Harrison|||Anna||Marie|Goetz|Deutsch||||2015|0|0|1|0|0|0|0|1
anc00075|Harrison|||John||George||Deutsch||||2015|0|0|1|0|0|0|0|1
anc00076|Harrison|||Joseph||A.||Farnsley||||2015|0|0|1|0|0|0|0|1
anc00077|Harrison|||Joshua||||Farnsley||||2015|0|0|1|1|0|0|0|2
anc00078|Harrison|||James||||Hubbard||||2015|0|0|1|0|0|1|0|2
anc00079|Harrison|||George||W.||Jamison||||2015|0|0|1|0|0|0|0|1
anc00080|Harrison|||Hannah|||Frank|Kepley||||2014|0|3|0|0|0|0|0|3
anc00081|Harrison|||John||||Kepley||||2014|0|3|0|2|1|0|0|6
anc00082|Harrison|||John||||Lemmon|Jr.|||2015|0|0|1|0|0|0|0|1
anc00083|Harrison|||Isaac||||Lofton|Sr.|||2015|0|0|1|0|0|0|0|1
anc00084|Harrison|||Elizabeth|||Rhinehart|Meyer||||2015|0|0|1|0|0|0|0|1
anc00085|Harrison|||William||||Sands||||2015|0|0|1|0|0|0|0|1
anc00086|Harrison|||Charles||||Smith||||2015|0|0|1|2|0|0|0|3
anc00087|Harrison|||Henry||||Smith||||2015|0|0|1|0|0|0|0|1
anc00088|Harrison|||Nancy|||Taylor|Smith||||2015|0|0|1|0|0|0|0|1
anc00089|Harrison|||Rebecca|||Kitterman|Smith||||2015|0|0|1|0|0|0|0|1
anc00090|Harrison|||Sarah|||Albin|Smith||||2015|0|0|1|6|0|0|0|7
anc00091|Harrison|||Stephen||||Smith||||2015|0|0|1|0|0|0|0|1
anc00092|Harrison|||John||George||Wolf||||2015|0|0|1|0|0|0|0|1
anc00093|Harrison|||Dennis||Lark||Pennington||||2016|0|0|0|3|0|0|0|3
anc00094|Harrison|||Philip||||Haas||||2016|0|0|0|2|0|0|0|2
anc00095|Floyd|||William||||Atkins||||2016|0|0|0|1|0|0|0|1
anc00096|Floyd|||Keziah|||Hurley|Atkins||||2016|0|0|0|1|0|0|0|1
anc00097|Floyd|||Josiah||||Lamb||||2016|0|0|0|1|0|0|1|2
anc00098|Floyd|||Mary|||Atkins|Lamb||||2016|0|0|0|1|0|0|1|2
anc00099|Floyd|||Ruth|||Pennington|Lamb||||2016|0|0|0|1|0|0|1|2
anc00100|Floyd|||William||Henry||Lamb||||2016|0|0|0|1|0|0|0|1
anc00101|Floyd|||Ruth|||Yarbrough|Lamb||||2016|0|0|0|1|0|0|0|1
anc00102|Floyd|||Mordecai||||Collins||||2016|0|0|0|3|1|0|1|5
anc00103|Floyd|||George||||Collins||||2016|0|0|0|1|0|0|0|1
anc00104|Floyd|||Obadiah||||Childs||||2016|0|0|0|1|1|0|0|2
anc00105|Floyd|||Francis||C.||Lang|Sr.|||2016|0|0|0|6|0|0|0|6
anc00106|Floyd|||John||||Guest||||2016|0|0|0|1|0|0|0|1
anc00107|Floyd|||Hannah|||Furnival|Guest||||2016|0|0|0|1|0|0|0|1
anc00108|Floyd|||Sarah|||Guest|McCulloch||||2016|0|0|0|1|0|0|0|1
anc00109|Floyd|||John||||McCulloch||||2016|0|0|0|1|0|0|0|1
anc00110|Floyd|||Michael||||Naville||||2016|0|0|0|1|0|0|0|1
anc00111|Floyd|||Thompson||||Hollis||||2016|0|0|0|1|1|0|0|2
anc00112|Floyd|||Rachel|||Miller|Hollis||||2016|0|0|0|1|0|0|0|1
anc00113|Floyd|||Isaac||||Miller||||2016|0|0|0|1|0|0|0|1
anc00114|Floyd|||Mary|||Stockslager|Miller||||2016|0|0|0|1|0|0|0|1
anc00115|Floyd|||Joseph||||Smith|Sr.|||2016|0|0|0|1|0|0|0|1
anc00116|Floyd|||Joseph||||Smith|Jr.|||2016|0|0|0|1|0|0|0|1
anc00117|Floyd|||Sarah|||Hebden|Smith||||2016|0|0|0|1|0|0|0|1
anc00118|Floyd|||Mary||Elizabeth|Hollis|Smith||||2016|0|0|0|1|0|0|0|1
anc00119|Floyd|||Michael||Elijah||Riley||||2016|0|0|0|11|0|0|0|11
anc00120|Floyd|||George||Sebastian||Smith||||2016|0|0|0|1|0|0|0|1
anc00121|Floyd|||Peter||Crescent||Smith||||2016|0|0|0|12|0|0|0|12
anc00122|Floyd|||Lorenz||||Stuhler||||2016|0|0|0|1|0|0|0|1
anc00123|Clark|||Henry||||Bottorff||||2016|0|0|0|1|0|0|0|1
anc00124|Clark|||Catharine|||Hikes|Bottorff||||2016|0|0|0|1|0|0|0|1
anc00125|Clark|||Absalom||||Carr||||2016|0|0|0|1|0|0|0|1
anc00126|Clark|||Jane|||Weir|Carr||||2016|0|0|0|1|0|0|0|1
