Ancestor ID,FullName,PRIMARY County,Secondary County,Title,First Name,Nickname,Middle Name,Maiden Name,Surname,Suffix,Year Settled,Spouse,FIRST ADDED,2013,2014,2015,2016,2017,2018,2019,Total Applicants Using This Ancestor
anc00001,"AKERS, Thomas Sr.",Floyd,,,Thomas,,,,Akers,Sr.,1815,,2013,1,0,0,0,0,0,0,1
anc00002,"BAKER, Benjamin",Floyd,,,Benjamin,,,,Baker,,,,2013,1,0,0,0,0,0,0,1
anc00003,"MCCAFFERTY, Sarah (Chew)",Floyd,,,Sarah,,,Chew,McCafferty,,1826,"MCCAFFERTY, Abraham",2013,1,0,0,0,0,0,0,1
anc00004,"COLE, Stephen",Floyd,,,Stephen,,,,Cole,,,,2013,1,0,0,0,0,0,0,1
anc00005,"SAMPSON, Sarah (Coleman)",Floyd,,,Sarah,,,Coleman,Sampson,,,,2013,1,0,0,0,0,0,0,1
anc00006,"ENGLEMAN, Philip",Floyd,Harrison,,Philip,,,,Engleman,,,,2013,1,1,0,3,6,0,0,11
anc00007,"FISKE, Peleg",Floyd,,,Peleg,,,,Fiske,,,,2013,2,0,0,0,0,0,0,2
anc00008,"FISKE, Mary (Graves)",Floyd,,,Mary,,,Graves,Fiske,,,,2013,1,0,0,0,0,0,0,1
anc00009,"GRAY, Robert",Floyd,,,Robert,,,,Gray,,1819,,2013,1,0,0,0,0,0,0,1
anc00010,"GROCE, David",Floyd,,,David,,,,Groce,,1817,,2013,1,0,0,0,0,0,0,1
anc00011,"GULLETT, John Wesley Sr.",Floyd,,,John,,Wesley,,Gullett,Sr.,1830,,2013,1,0,0,0,0,0,0,1
anc00012,"GULLETT, John Wesley Jr.",Floyd,,,John,,Wesley,,Gullett,Jr.,1836,,2013,1,0,0,0,0,0,0,1
anc00013,"HEY, Joseph",Floyd,,,Joseph,,,,Hey,,1820,,2013,1,0,0,0,0,0,0,1
anc00014,"LAFOLLETTE, Robert",Floyd,,,Robert,,,,LaFollette,,,,2013,3,0,0,0,0,0,0,3
anc00015,"LAMB, Henry",Floyd,,,Henry,,,,Lamb,,,,2013,2,0,0,0,0,0,1,3
anc00016,"LEACH, John S.",Floyd,,,John,,S.,,Leach,,,,2013,1,0,0,0,0,0,0,1
anc00017,"MCCAFFERTY, Abraham",Floyd,,,Abraham,,,,McCafferty,,1805,"MCCAFFERTY, Sarah (Chew)",2013,2,0,0,0,0,0,0,2
anc00018,"MAYFIELD, Levi",Floyd,,,Levi,,,,Mayfield,,,,2013,1,0,0,0,0,0,0,1
anc00019,"VERNIA, Susanna (Piers)",Floyd,,,Susanna,,,Piers,Vernia,,,,2013,4,1,0,0,0,0,0,5
anc00020,"PIERS, Thomas",Floyd,,,Thomas,,,,Piers,,,,2013,4,0,0,0,0,0,0,4
anc00021,"RENN, Joseph",Floyd,,,Joseph,,,,Renn,,1839,,2013,1,0,0,0,0,0,0,1
anc00022,"RENN, Peter",Floyd,,,Peter,,,,Renn,,1839,,2013,1,0,0,0,0,0,0,1
anc00023,"SAMPSON, William",Floyd,,,William,,,,Sampson,,,,2013,1,0,0,0,0,0,0,1
anc00024,"SCOTT, John",Floyd,,,John,,,,Scott,,,,2013,1,1,0,0,0,0,0,2
anc00025,"SCOTT, Moses",Floyd,,,Moses,,,,Scott,,,,2013,7,0,3,0,0,0,0,10
anc00026,"SCRIBNER, Joel",Floyd,,,Joel,,,,Scribner,,,,2013,11,0,0,0,1,0,0,12
anc00027,"SMITH, Joseph T.",Floyd,,,Joseph,,T.,,Smith,,,,2013,1,0,0,0,0,0,0,1
anc00028,"SMITH, Martin",Floyd,,,Martin,,,,Smith,,,,2013,1,0,0,0,0,0,0,1
anc00029,"TULEY, Preston Floyd",Floyd,,,Preston,,Floyd,,Tuley,,,,2013,2,0,0,0,0,0,0,2
anc00030,"UTZ, Mary",Floyd,,,Mary,,,,Utz,,,,2013,1,0,0,0,0,0,0,1
anc00031,"VERNIA, Peter",Floyd,,,Peter,,,,Vernia,,,,2013,4,0,0,0,0,0,0,4
anc00032,"WHEELER, George",Floyd,,,George,,,,Wheeler,,,,2013,1,0,0,0,0,0,0,1
anc00033,"WOLFE, David",Floyd,,,David,,,,Wolfe,,,,2013,1,0,0,0,0,0,0,1
anc00034,"WOLFE, Peter W.",Floyd,,,Peter,,W.,,Wolfe,,,,2013,1,0,0,0,0,0,0,1
anc00035,"AMICK, Gideon",Clark,,,Gideon,,,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00036,"AMICK, John Dick",Clark,,,John,,Dick,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00037,"AMICK, Peter",Clark,,,Peter,,,,Amick,,,,2015,0,0,1,0,0,0,0,1
anc00038,"APPLEGATE, Samuel",Clark,,,Samuel,,,,Applegate,,,,2014,0,4,0,0,0,0,0,4
anc00039,"BUTTS, Benjamin",Clark,,,Benjamin,,,,Butts,,,,2014,0,2,0,0,0,0,0,2
